number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
55,0.3715016237444558,0.3947882853033413,2024-03-09 23:47:51.406510,2024-03-09 23:49:37.789787,0 days 00:01:46.383277,0.020867817379744476,gbtree,0.30843625123097884,0.03818339123580162,1.0853153520489054e-05,lossguide,1.9412942047176848e-08,3,9,280,,,,,0.5026178374364831,1,COMPLETE
56,-0.09205027194215325,0.6854318479225265,2024-03-09 23:49:37.790790,2024-03-10 00:19:23.673055,0 days 00:29:45.882265,3.494630585079505e-08,dart,0.6671642506348463,2.7033289885404723e-05,0.0014314784337936153,depthwise,0.0024327791452268487,7,8,260,forest,0.0016640252143072607,weighted,2.084728743489025e-07,0.8258370202096919,1,COMPLETE
57,0.3048568153003376,0.4354112155022711,2024-03-10 00:19:23.673055,2024-03-10 00:39:44.399430,0 days 00:20:20.726375,7.681165288806858e-08,dart,0.672207359398822,0.005697644270990217,1.7540044406323828e-05,lossguide,1.073020363229856e-06,7,9,200,forest,1.0517544144123416e-05,weighted,1.6188406482505734e-08,0.9637948390755309,1,COMPLETE
58,-0.09686222843144639,0.6884810511482231,2024-03-10 00:39:44.399430,2024-03-10 00:49:24.428615,0 days 00:09:40.029185,3.494630585079505e-08,gbtree,0.6671642506348463,1.8879987131779035e-06,0.0014314784337936153,depthwise,0.0011062515685809791,7,10,260,,,,,0.8258370202096919,1,COMPLETE
59,0.11251349716454835,0.555871943189024,2024-03-10 00:49:24.429598,2024-03-10 00:59:42.827473,0 days 00:10:18.397875,0.001462119018080526,gbtree,0.6830171243253244,0.0012747802167786197,1.3048915350629525e-05,depthwise,0.00012210829959467316,7,2,300,,,,,0.6525871394380691,1,COMPLETE
60,0.186403518286343,0.5088768976527474,2024-03-10 00:59:42.828476,2024-03-10 01:04:25.834696,0 days 00:04:43.006220,9.085750785301884e-06,gbtree,0.5350194376760122,0.0030718446521686015,0.004504463537250344,lossguide,1.9412942047176848e-08,5,2,280,,,,,0.5026178374364831,1,COMPLETE
61,0.16701599384679458,0.5215151969014278,2024-03-10 01:04:25.835700,2024-03-10 01:08:23.413633,0 days 00:03:57.577933,2.2256457876084095e-05,dart,0.5489459037020195,0.005697644270990217,0.002126128447378764,depthwise,1.073020363229856e-06,7,9,100,forest,0.9316052040303092,weighted,0.03101662012099995,0.9637948390755309,1,COMPLETE
62,0.48991519596775623,0.31972130282323324,2024-03-10 01:08:23.414633,2024-03-10 01:41:29.347276,0 days 00:33:05.932643,0.003248255399924014,dart,0.6403280387338683,0.11077950067426404,1.2049398266358858e-05,lossguide,7.810165979136746e-06,5,10,300,forest,0.00020464979343352773,weighted,1.594116565937532e-06,0.5421459936549349,1,COMPLETE
63,-0.20867876221176082,0.7473255555004025,2024-03-10 01:41:29.348293,2024-03-10 01:47:04.835989,0 days 00:05:35.487696,0.01664520693256511,dart,0.7311419970605237,0.7548845307642305,4.700718542563148e-08,depthwise,3.8333624322618344e-07,3,2,120,tree,8.954817279866095e-06,uniform,0.0005009268226754373,0.376237895814979,1,COMPLETE
64,0.47720425530666055,0.32914147941231153,2024-03-10 01:47:04.836991,2024-03-10 02:16:53.482136,0 days 00:29:48.645145,2.6186830002293746e-06,dart,0.30843625123097884,0.03818339123580162,3.328907440983689e-05,depthwise,0.01409061355105301,5,9,300,tree,9.331169508337948e-08,uniform,5.350212566770297e-05,0.9653506260775142,1,COMPLETE
65,0.5021525507069851,0.3126780504577362,2024-03-10 02:16:53.482136,2024-03-10 02:23:45.661927,0 days 00:06:52.179791,0.22461964962413392,gbtree,0.9643879895715253,0.05507558529432227,0.06433455663981615,depthwise,0.00016522388903972757,7,9,140,,,,,0.7078329942049246,1,COMPLETE
66,-0.09696691337548402,0.6885471474600529,2024-03-10 02:23:45.661927,2024-03-10 02:31:11.898455,0 days 00:07:26.236528,0.00022581315039562136,gbtree,0.5370811042557442,1.4375556825289208e-06,0.006477128744396121,depthwise,9.217229951805554e-06,7,7,240,,,,,0.881481277256283,1,COMPLETE
67,0.2743261249418582,0.4504470769090313,2024-03-10 02:31:11.898455,2024-03-10 02:34:49.629741,0 days 00:03:37.731286,0.020867817379744476,gbtree,0.947137202263828,0.3054123717456592,7.662030275272564e-08,depthwise,0.01409061355105301,7,9,120,,,,,0.3424973459656837,1,COMPLETE
68,0.19657641323367356,0.5035101205117932,2024-03-10 02:34:49.637818,2024-03-10 02:38:32.984885,0 days 00:03:43.347067,0.00024895021152862026,dart,0.27983346511911933,0.017756008819003428,0.0001260105901926106,depthwise,0.06559613512739929,3,4,100,forest,0.00017158401496844694,uniform,0.3810256231957174,0.7584320156608357,1,COMPLETE
