number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
46,0.368564917422664,2024-03-20 00:50:02.862789,2024-03-20 00:57:28.353836,0 days 00:07:25.491047,2.5148634215168036e-07,dart,0.742102405877732,0.11361699964546108,4.984573926872846e-05,lossguide,2.2481419204965215e-05,3,2,300,forest,3.0843727731079544e-07,uniform,1.8441977600953104e-07,0.43198581242761264,COMPLETE
47,-0.09401098880280875,2024-03-20 00:57:28.357095,2024-03-20 01:05:28.284619,0 days 00:07:59.927524,4.137502106270265e-06,dart,0.8173362470995165,1.7239092643414277e-05,0.04175832416364617,lossguide,0.002047386672131279,9,3,280,tree,4.2656207306897756e-08,uniform,1.8107852764722273e-07,0.5461871989919194,COMPLETE
48,-0.0971637364987501,2024-03-20 01:05:28.284619,2024-03-20 01:11:49.540525,0 days 00:06:21.255906,4.11523690123662e-05,dart,0.5852579262840162,4.410040255589835e-07,0.000176844620230878,lossguide,4.148831838632434e-05,7,4,260,forest,1.2445507631530229e-05,uniform,9.602381817091055e-06,0.4704429698074644,COMPLETE
49,0.2606964536874689,2024-03-20 01:11:49.540525,2024-03-20 01:20:14.600803,0 days 00:08:25.060278,1.23319805237852e-06,dart,0.8712240568358458,0.004133666335139658,0.002583280348089338,lossguide,3.703055320797621e-08,9,6,300,tree,1.177024651224967e-06,uniform,3.773678957525787e-06,0.386504716757444,COMPLETE
50,-0.022517126767998864,2024-03-20 01:20:14.602334,2024-03-20 01:21:02.210987,0 days 00:00:47.608653,1.141765467949187e-05,gbtree,0.7913515946235938,0.0005947259338422106,1.4051287037871784e-06,lossguide,0.0005368568749950902,7,4,260,,,,,0.3080561722596957,COMPLETE
51,0.47564060565085137,2024-03-20 01:21:02.210987,2024-03-20 01:28:43.417844,0 days 00:07:41.206857,3.219486099912527e-06,dart,0.6633213161235807,0.04331825847283144,0.0005072980570337086,lossguide,3.4595350671036493e-07,9,3,280,forest,2.8773655474689188e-08,weighted,0.0019019444873586472,0.7204438613096856,COMPLETE
52,0.4100485954380976,2024-03-20 01:28:43.417844,2024-03-20 01:36:19.418505,0 days 00:07:36.000661,3.405919369253653e-06,dart,0.6707627903413524,0.013117603419741993,0.000620844895922516,lossguide,4.380797335070854e-07,9,3,280,forest,3.6975108643890134e-08,weighted,0.002491004708095826,0.696454660591768,COMPLETE
53,0.47559574507600144,2024-03-20 01:36:19.420501,2024-03-20 01:45:10.163852,0 days 00:08:50.743351,1.5155486156008707e-07,dart,0.7319253624837566,0.06133307683421009,0.006143363077074334,lossguide,1.6212336297176683e-07,9,10,300,forest,2.2973758295498058e-07,weighted,0.008807109563458336,0.7801015415989506,COMPLETE
54,0.47188472654629443,2024-03-20 01:45:10.164991,2024-03-20 01:53:39.199333,0 days 00:08:29.034342,1.4333999580957026e-07,dart,0.7293982321659506,0.045531473704047365,0.004217536509963968,lossguide,1.419116792191955e-07,9,8,300,forest,2.281525664522648e-07,uniform,0.007493342748678249,0.7985088363563648,COMPLETE
55,0.43877788467508355,2024-03-20 01:53:39.199333,2024-03-20 02:02:29.728590,0 days 00:08:50.529257,1.1532763737166087e-07,dart,0.723058146346754,0.34367450567406965,0.09359078215943667,lossguide,1.3034797494363109e-08,9,10,300,forest,5.406206598621667e-07,weighted,0.045013773066024734,0.7950186384910558,COMPLETE
56,0.4827484387018089,2024-03-20 02:02:29.729582,2024-03-20 02:10:53.963795,0 days 00:08:24.234213,2.3480853114935667e-08,dart,0.762923071161118,0.06449905177005022,0.018130561000928216,lossguide,1.336294836975049e-07,9,9,300,forest,2.5085891440525144e-06,uniform,0.008264911751789764,0.8948802067358038,COMPLETE
57,0.4883017573341564,2024-03-20 02:10:53.963795,2024-03-20 02:18:42.825869,0 days 00:07:48.862074,2.4280605508260122e-08,dart,0.7676025184513405,0.09971398794184795,0.018868052527738897,lossguide,5.8213595882309726e-08,9,10,280,tree,2.3786872684392397e-06,uniform,0.005332534693017628,0.8803211119434041,COMPLETE
58,0.40216934403272153,2024-03-20 02:18:42.826856,2024-03-20 02:20:11.070326,0 days 00:01:28.243470,2.321442020947365e-08,gbtree,0.798622885355177,0.012472840487596991,0.019898048916839904,lossguide,2.9399267525469822e-08,9,9,300,,,,,0.8573346339856613,COMPLETE
59,0.1445828959722282,2024-03-20 02:20:11.070326,2024-03-20 02:28:03.350537,0 days 00:07:52.280211,2.066544813765036e-08,dart,0.7623945070227183,0.9529072367509938,0.006643853820396742,lossguide,5.719964395204263e-08,9,9,280,forest,3.980833978455555e-06,weighted,0.008427316122464674,0.9565619371171888,COMPLETE
60,0.48589859938087815,2024-03-20 02:28:03.350537,2024-03-20 02:35:01.254408,0 days 00:06:57.903871,0.5116131132215037,dart,0.8550178688469374,0.22023720060873755,0.05840155610776586,lossguide,1.4349352022502236e-08,9,10,260,tree,5.073199428806122e-05,uniform,0.15846507489089434,0.867166531710478,COMPLETE
61,0.4716894215653854,2024-03-20 02:35:01.257523,2024-03-20 02:41:34.112624,0 days 00:06:32.855101,0.037246529806325354,dart,0.8520977193959802,0.2409681445307091,0.21321140401252123,lossguide,1.8599813556498692e-08,9,10,260,tree,4.395631334555396e-05,uniform,0.30015510871994333,0.8940585709215276,COMPLETE
62,0.48719065697267927,2024-03-20 02:41:34.112624,2024-03-20 02:50:24.832358,0 days 00:08:50.719734,0.6977748855005917,dart,0.7617129828103294,0.09236942595884935,0.37114213434719134,lossguide,8.437287026843397e-08,9,10,300,tree,7.1761821477410096e-06,uniform,0.13395580578578928,0.8708798470290685,COMPLETE
63,0.40904312553477695,2024-03-20 02:50:24.833375,2024-03-20 02:59:19.466356,0 days 00:08:54.632981,0.2702809057566469,dart,0.8062833241502688,0.470731735122464,0.3034583757227587,lossguide,6.80880521276194e-08,9,10,300,tree,1.8662152518673762e-05,uniform,0.22075308765039414,0.8654181292432507,COMPLETE
64,0.47920373970638386,2024-03-20 02:59:19.466356,2024-03-20 03:07:58.937851,0 days 00:08:39.471495,0.6851774971324238,dart,0.7707817931826573,0.05927839160965102,0.05169269053888991,lossguide,1.046054522285338e-08,9,10,300,tree,0.0002322233974801843,uniform,0.7640920696347899,0.9437503875856462,COMPLETE
65,0.47804606122204396,2024-03-20 03:07:58.937851,2024-03-20 03:17:10.253957,0 days 00:09:11.316106,0.7989215653279662,dart,0.8641226104557157,0.06223645973216732,0.06526931072114493,lossguide,1.0870878050692577e-08,9,10,300,tree,0.0004203586760299561,uniform,0.54737067028596,0.9577571217600087,COMPLETE
66,0.44097555303362057,2024-03-20 03:17:10.253957,2024-03-20 03:25:48.042035,0 days 00:08:37.788078,0.5646392804103587,dart,0.9120055086766442,0.025326490836225193,0.07177919139603227,lossguide,3.408060474519984e-08,9,9,300,tree,0.0003533066149704128,uniform,0.6019759304347378,0.9587590521001619,COMPLETE
67,0.09415504339933087,2024-03-20 03:25:48.042035,2024-03-20 03:27:27.564769,0 days 00:01:39.522734,0.13618828347228643,gbtree,0.9570967585205934,0.0012214048659460494,0.4131461678789839,lossguide,1.1344745124768658e-08,9,9,300,,,,,0.9449066174311308,COMPLETE
68,0.47459235876763606,2024-03-20 03:27:27.566763,2024-03-20 03:35:01.090142,0 days 00:07:33.523379,0.6981961211909701,dart,0.8804637072765742,0.2239294266541936,0.7618598388491621,lossguide,2.019517895757323e-08,7,10,280,tree,0.0006412316557337042,uniform,0.8411280685599518,0.877897205735334,COMPLETE
