number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
83,0.0669358562772255,0.5852436493305658,2024-03-13 22:41:13.042552,2024-03-13 22:41:14.041077,0 days 00:00:00.998525,squared_error,3,sqrt,200,5,4,160,1,COMPLETE
84,0.3168689538414068,0.43250271212384667,2024-03-13 22:41:14.042078,2024-03-13 23:09:38.881400,0 days 00:28:24.839322,absolute_error,7,,400,3,8,120,1,COMPLETE
85,0.22305592410972253,0.4866950566010078,2024-03-13 23:09:38.883418,2024-03-13 23:09:41.798577,0 days 00:00:02.915159,squared_error,7,log2,1000,5,8,160,1,COMPLETE
86,0.30058528485759084,0.4371268952936269,2024-03-13 23:09:41.799593,2024-03-13 23:09:45.540689,0 days 00:00:03.741096,squared_error,9,log2,900,3,8,200,1,COMPLETE
87,0.13647388812973743,0.5438477547057372,2024-03-13 23:09:45.542684,2024-03-13 23:09:50.029418,0 days 00:00:04.486734,friedman_mse,3,,1000,3,8,120,1,COMPLETE
88,0.3078227640928546,0.432442645020403,2024-03-13 23:09:50.030418,2024-03-13 23:09:51.333488,0 days 00:00:01.303070,friedman_mse,9,log2,300,1,6,120,1,COMPLETE
89,0.13731368172898817,0.5434396507445542,2024-03-13 23:09:51.335484,2024-03-13 23:09:55.117973,0 days 00:00:03.782489,friedman_mse,3,,300,3,2,100,1,COMPLETE
90,0.409644921604821,0.368845430891699,2024-03-13 23:09:55.117973,2024-03-13 23:10:20.658946,0 days 00:00:25.540973,squared_error,9,,800,3,2,200,1,COMPLETE
91,0.40531654573086556,0.37209959667887954,2024-03-13 23:10:20.659948,2024-03-13 23:10:33.261411,0 days 00:00:12.601463,friedman_mse,9,,800,5,2,100,1,COMPLETE
92,0.3515856135744877,0.4054123999044591,2024-03-13 23:10:33.262413,2024-03-13 23:10:50.329939,0 days 00:00:17.067526,friedman_mse,7,,600,1,2,180,1,COMPLETE
93,0.3766149536054235,0.39378391346052066,2024-03-13 23:10:50.331960,2024-03-13 23:34:38.389542,0 days 00:23:48.057582,absolute_error,9,,700,3,8,100,1,COMPLETE
94,0.2564051760544019,0.46757750987716395,2024-03-13 23:34:38.390544,2024-03-13 23:34:46.488119,0 days 00:00:08.097575,squared_error,5,,1000,3,6,100,1,COMPLETE
95,0.2565435423551635,0.4675249044622996,2024-03-13 23:34:46.489124,2024-03-13 23:34:59.843938,0 days 00:00:13.354814,squared_error,5,,1000,1,10,180,1,COMPLETE
96,0.37404268652274275,0.3957479603167287,2024-03-13 23:34:59.844941,2024-03-14 00:04:41.481223,0 days 00:29:41.636282,absolute_error,9,,300,5,8,120,1,COMPLETE
97,0.1778057427809341,0.5152826090584632,2024-03-14 00:04:41.483267,2024-03-14 00:04:44.519529,0 days 00:00:03.036262,friedman_mse,5,sqrt,200,1,6,140,1,COMPLETE
98,0.3494565617896067,0.40712478090006404,2024-03-14 00:04:44.522041,2024-03-14 00:04:58.026747,0 days 00:00:13.504706,friedman_mse,7,,800,5,6,100,1,COMPLETE
99,0.13731368172898817,0.5434396507445542,2024-03-14 00:04:58.026747,2024-03-14 00:05:02.281748,0 days 00:00:04.255001,friedman_mse,3,,1000,3,8,100,1,COMPLETE
