number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
76,0.5463370361904965,2024-03-19 14:36:06.378860,2024-03-19 14:37:15.016417,0 days 00:01:08.637557,1.636950538343707e-05,dart,0.7338521996040036,0.04717233152765141,2.1183173889538494e-07,depthwise,0.19724720533305556,13,9,220,forest,0.05834344619824374,uniform,3.800811626460724e-05,0.9008242106466843,COMPLETE
77,0.52583531472653,2024-03-19 14:37:15.017423,2024-03-19 14:38:18.378064,0 days 00:01:03.360641,1.5467299396427443e-05,dart,0.7229210286887895,0.026694575427716055,2.1951202116367857e-07,depthwise,0.2227018291055738,13,10,220,forest,0.17223826402858575,uniform,2.6214989604117304e-05,0.9087972286569193,COMPLETE
78,0.48240383921463137,2024-03-19 14:38:18.379067,2024-03-19 14:39:33.244590,0 days 00:01:14.865523,2.723954412080039e-05,dart,0.70987138887549,0.008461334451705695,8.609171553011573e-07,depthwise,0.13432177343679302,13,9,230,forest,0.06268687519419554,uniform,7.682089609187135e-05,0.8928245230738562,COMPLETE
79,0.5416665097947888,2024-03-19 14:39:33.245592,2024-03-19 14:40:46.177669,0 days 00:01:12.932077,6.55187402312433e-05,dart,0.9057316004070608,0.046248078816895535,1.1231557233735809e-07,depthwise,0.2959071497315944,13,10,220,forest,0.014207027465519866,uniform,8.203442964514327e-06,0.9240477997987133,COMPLETE
80,0.538454653697955,2024-03-19 14:40:46.178669,2024-03-19 14:41:59.141996,0 days 00:01:12.963327,7.264015459243793e-05,dart,0.9120353604224656,0.07685538042047392,1.447121046190877e-07,depthwise,0.1801886030112394,13,10,220,forest,0.013433291985975083,uniform,7.751269802199204e-06,0.9235546747161539,COMPLETE
81,0.5429457962182274,2024-03-19 14:41:59.142999,2024-03-19 14:43:22.235423,0 days 00:01:23.092424,5.188873465778756e-05,dart,0.8312482836867156,0.04784250922549884,6.166004226171859e-08,depthwise,0.3098092186657663,13,10,220,forest,0.007936456271730268,uniform,1.6928382855715645e-06,0.966940779387033,COMPLETE
82,0.5417574942832597,2024-03-19 14:43:22.236425,2024-03-19 14:44:43.034343,0 days 00:01:20.797918,1.3085058937839515e-05,dart,0.8455376167352016,0.043597240421039234,3.001886715827618e-08,depthwise,0.32487601898218477,13,10,220,forest,0.004539293635272523,uniform,1.4581368106081086e-06,0.9638595886825534,COMPLETE
83,0.5425538038006079,2024-03-19 14:44:43.035869,2024-03-19 14:46:05.222357,0 days 00:01:22.186488,1.0206261065665388e-05,dart,0.8463427227053145,0.04567330968226417,7.259876989623973e-08,depthwise,0.042338247054137614,13,10,230,tree,0.004661321034637285,uniform,7.343500082836035e-07,0.9584259541165925,COMPLETE
84,0.4746793921577953,2024-03-19 14:46:05.223362,2024-03-19 14:47:21.818585,0 days 00:01:16.595223,0.00010697794178502082,dart,0.7511677624057536,0.031472417902685464,5.553826013021981e-08,depthwise,0.15599206333213145,13,10,230,tree,0.07276313591472804,weighted,3.518833171609464e-07,0.941000613589081,COMPLETE
85,0.5347816805849874,2024-03-19 14:47:21.820592,2024-03-19 14:48:38.206474,0 days 00:01:16.385882,4.629812631280665e-05,dart,0.804901614469,0.05053022729074441,2.1750878213682856e-06,depthwise,0.03821849402353461,13,4,220,tree,0.0013221969307902254,uniform,3.384226099823056e-06,0.8782077724405342,COMPLETE
